### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+1.76500e+03  +4.93105e-01  +2.18687e-02  +1.88921e+00  +1.84819e-01
+1.77500e+03  +4.89011e-01  +2.24571e-02  +1.86490e+00  +1.83066e-01
+1.78500e+03  +4.83884e-01  +2.19462e-02  +1.83692e+00  +1.79593e-01
+1.79500e+03  +4.80214e-01  +2.25303e-02  +1.81474e+00  +1.77696e-01
+1.80500e+03  +4.76630e-01  +2.26690e-02  +1.79311e+00  +1.75352e-01
+1.81500e+03  +4.67335e-01  +2.22636e-02  +1.75031e+00  +1.72006e-01
+1.82500e+03  +4.64227e-01  +2.24153e-02  +1.73099e+00  +1.69628e-01
+1.83500e+03  +4.59165e-01  +2.21531e-02  +1.70461e+00  +1.66870e-01
+1.84500e+03  +4.47253e-01  +2.14135e-02  +1.65315e+00  +1.62791e-01
+1.85500e+03  +4.40951e-01  +2.11132e-02  +1.62282e+00  +1.59769e-01
+1.86500e+03  +4.38778e-01  +2.12898e-02  +1.60789e+00  +1.57867e-01
+1.87500e+03  +4.37955e-01  +2.20229e-02  +1.59803e+00  +1.56910e-01
+1.88500e+03  +4.25799e-01  +2.12428e-02  +1.54710e+00  +1.53037e-01
+1.89500e+03  +4.17324e-01  +2.07684e-02  +1.50993e+00  +1.49943e-01
+1.90500e+03  +4.20257e-01  +2.14124e-02  +1.51419e+00  +1.49241e-01
+1.91500e+03  +4.11667e-01  +2.09119e-02  +1.47708e+00  +1.46119e-01
+1.92500e+03  +4.04232e-01  +2.07470e-02  +1.44441e+00  +1.43537e-01
+1.93500e+03  +4.05681e-01  +2.10316e-02  +1.44364e+00  +1.42457e-01
+1.94500e+03  +4.04463e-01  +2.14161e-02  +1.43344e+00  +1.41330e-01
+1.95500e+03  +3.92714e-01  +2.06946e-02  +1.38615e+00  +1.37730e-01
+1.96700e+03  +3.94602e-01  +2.13450e-02  +1.38608e+00  +1.37018e-01
+1.97600e+03  +3.94462e-01  +2.15408e-02  +1.38059e+00  +1.35896e-01
+1.98400e+03  +3.86628e-01  +2.10029e-02  +1.34885e+00  +1.33334e-01
+1.99500e+03  +3.79652e-01  +2.05785e-02  +1.31873e+00  +1.30422e-01
+2.00500e+03  +3.79258e-01  +2.08516e-02  +1.31216e+00  +1.29433e-01
+2.01500e+03  +3.76348e-01  +2.06092e-02  +1.29698e+00  +1.27468e-01
+2.02500e+03  +3.74799e-01  +2.09674e-02  +1.28659e+00  +1.26504e-01
+2.03500e+03  +3.67011e-01  +2.05085e-02  +1.25496e+00  +1.23988e-01
+2.04500e+03  +3.63746e-01  +2.06562e-02  +1.23898e+00  +1.22596e-01
+2.05500e+03  +3.44200e-01  +1.98114e-02  +1.16789e+00  +1.17877e-01
+2.06500e+03  +3.50559e-01  +2.01776e-02  +1.18491e+00  +1.18296e-01
+2.07400e+03  +3.61241e-01  +2.08359e-02  +1.21681e+00  +1.20403e-01
+2.07800e+03  +3.55062e-01  +2.03734e-02  +1.19418e+00  +1.18957e-01
+2.08500e+03  +3.54429e-01  +2.06140e-02  +1.18888e+00  +1.18350e-01
+2.09500e+03  +3.48225e-01  +2.01133e-02  +1.16365e+00  +1.15997e-01
+2.10500e+03  +3.47464e-01  +2.02901e-02  +1.15674e+00  +1.15020e-01
+2.11500e+03  +3.45188e-01  +2.02689e-02  +1.14485e+00  +1.13735e-01
+2.12500e+03  +3.42971e-01  +2.03854e-02  +1.13325e+00  +1.12567e-01
+2.13500e+03  +3.38677e-01  +1.98000e-02  +1.11490e+00  +1.10202e-01
+2.14500e+03  +3.33744e-01  +1.98713e-02  +1.09459e+00  +1.09011e-01
+2.15500e+03  +3.33002e-01  +2.00966e-02  +1.08814e+00  +1.08238e-01
+2.16500e+03  +3.28111e-01  +1.97118e-02  +1.06822e+00  +1.06070e-01
+2.17500e+03  +3.25719e-01  +1.96205e-02  +1.05655e+00  +1.04851e-01
+2.18500e+03  +3.21648e-01  +1.94530e-02  +1.03955e+00  +1.03255e-01
+2.19500e+03  +3.20452e-01  +1.98496e-02  +1.03192e+00  +1.02960e-01
+2.20500e+03  +3.16663e-01  +1.94815e-02  +1.01604e+00  +1.01110e-01
+2.21500e+03  +3.12206e-01  +1.90665e-02  +9.98132e-01  +9.90510e-02
+2.22500e+03  +3.09035e-01  +1.87487e-02  +9.84450e-01  +9.74962e-02
+2.23500e+03  +3.06978e-01  +1.92963e-02  +9.74405e-01  +9.74180e-02
+2.24500e+03  +3.04084e-01  +1.88810e-02  +9.61781e-01  +9.56058e-02
+2.25500e+03  +2.99335e-01  +1.85558e-02  +9.43403e-01  +9.37907e-02
+2.26500e+03  +2.98039e-01  +1.86370e-02  +9.36002e-01  +9.30626e-02
+2.27500e+03  +2.95314e-01  +1.88421e-02  +9.24179e-01  +9.24043e-02
+2.28500e+03  +2.92785e-01  +1.89508e-02  +9.13051e-01  +9.15920e-02
+2.29500e+03  +2.87258e-01  +1.84545e-02  +8.92683e-01  +8.95274e-02
+2.30500e+03  +2.85606e-01  +1.84149e-02  +8.84458e-01  +8.85276e-02
+2.31500e+03  +2.83239e-01  +1.81958e-02  +8.74085e-01  +8.73708e-02
+2.32500e+03  +2.71003e-01  +1.62363e-02  +8.33433e-01  +8.26070e-02
+2.33500e+03  +2.77052e-01  +1.77769e-02  +8.49100e-01  +8.48016e-02
+2.34500e+03  +2.73897e-01  +1.72837e-02  +8.36550e-01  +8.30171e-02
+2.35500e+03  +2.72535e-01  +1.77848e-02  +8.29542e-01  +8.30694e-02
+2.36500e+03  +2.69028e-01  +1.72198e-02  +8.16076e-01  +8.11714e-02
+2.37500e+03  +2.66818e-01  +1.74598e-02  +8.06620e-01  +8.07558e-02
+2.38500e+03  +2.62217e-01  +1.67802e-02  +7.90028e-01  +7.85108e-02
+2.39500e+03  +2.61722e-01  +1.72485e-02  +7.85875e-01  +7.87392e-02
+2.40500e+03  +2.59065e-01  +1.69258e-02  +7.75280e-01  +7.73902e-02
