### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.00899e+03  +8.68771e-01  +1.42251e-01  +1.03930e+00  +9.65195e-03
+1.00941e+03  +8.30877e-01  +1.37439e-01  +1.01352e+00  +8.52271e-03
+1.00984e+03  +8.51851e-01  +1.37692e-01  +9.32068e-01  +1.38823e-02
+1.01026e+03  +1.03054e+00  +1.57668e-01  +8.66017e-01  +1.74227e-02
+1.01068e+03  +1.07181e+00  +1.57834e-01  +9.14084e-01  +1.11435e-02
+1.01110e+03  +1.18023e+00  +1.85970e-01  +9.89765e-01  +8.86432e-03
+1.01152e+03  +9.44031e-01  +1.95294e-01  +1.01762e+00  +9.79124e-03
+1.01194e+03  +8.14261e-01  +1.78927e-01  +1.02313e+00  +9.24628e-03
+1.01237e+03  +1.07450e+00  +2.03404e-01  +9.96457e-01  +9.41121e-03
+1.01279e+03  +7.17592e-01  +1.71045e-01  +9.63900e-01  +1.07536e-02
+1.01321e+03  +1.10814e+00  +2.11630e-01  +9.89843e-01  +1.07441e-02
+1.01363e+03  +9.78387e-01  +1.95432e-01  +1.02762e+00  +1.00998e-02
+1.01405e+03  +1.13869e+00  +2.00964e-01  +1.03819e+00  +1.00064e-02
+1.01447e+03  +1.36919e+00  +1.80185e-01  +1.03148e+00  +1.00981e-02
+1.01490e+03  +1.23171e+00  +1.70444e-01  +1.02332e+00  +9.93707e-03
+1.01532e+03  +1.37432e+00  +1.80783e-01  +1.02707e+00  +9.34984e-03
+1.01574e+03  +8.74211e-01  +1.40865e-01  +1.02977e+00  +9.04750e-03
+1.01616e+03  +9.36047e-01  +1.51156e-01  +1.02974e+00  +9.06157e-03
+1.01658e+03  +1.05821e+00  +1.61569e-01  +1.02652e+00  +9.10019e-03
+1.01700e+03  +9.99451e-01  +1.51669e-01  +1.01184e+00  +9.22288e-03
+1.01743e+03  +8.53322e-01  +1.41929e-01  +9.82479e-01  +9.84624e-03
+1.01785e+03  +9.11534e-01  +1.42039e-01  +9.58745e-01  +9.79927e-03
+1.01827e+03  +1.24911e+00  +1.72778e-01  +9.68155e-01  +9.19511e-03
+1.01869e+03  +9.66661e-01  +1.52720e-01  +9.91625e-01  +8.24489e-03
+1.01911e+03  +9.88974e-01  +1.52994e-01  +1.00744e+00  +8.45472e-03
+1.01953e+03  +1.15376e+00  +1.63446e-01  +1.00793e+00  +9.58684e-03
+1.01996e+03  +9.31177e-01  +1.53625e-01  +1.00230e+00  +1.15553e-02
+1.02038e+03  +8.71708e-01  +1.43572e-01  +1.00577e+00  +1.16385e-02
+1.02080e+03  +1.30431e+00  +1.74586e-01  +1.00737e+00  +1.04999e-02
+1.02122e+03  +1.22422e+00  +1.69830e-01  +9.91160e-01  +1.09989e-02
+1.02164e+03  +1.06156e+00  +1.59797e-01  +9.66492e-01  +1.87906e-02
+1.02206e+03  +7.54305e-01  +1.34248e-01  +9.45603e-01  +2.76828e-02
+1.02248e+03  +1.06575e+00  +1.60390e-01  +9.25637e-01  +3.15858e-02
+1.02291e+03  +7.15850e-01  +1.34713e-01  +9.00377e-01  +3.43955e-02
+1.02333e+03  +8.20942e-01  +1.45426e-01  +8.67526e-01  +4.36303e-02
+1.02375e+03  +4.89705e-01  +1.14530e-01  +8.24434e-01  +5.71187e-02
+1.02417e+03  +2.82351e-01  +9.39118e-02  +7.86014e-01  +6.77147e-02
+1.02459e+03  +1.15679e-01  +7.32854e-02  +7.23822e-01  +6.93769e-02
