### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+1.40500e+03  +9.24469e-01  +1.37385e-02  +1.77779e+00  +1.06884e-01
+1.41500e+03  +9.25095e-01  +1.02183e-02  +1.76851e+00  +1.05645e-01
+1.42500e+03  +8.85331e-01  +1.26493e-02  +1.68268e+00  +1.04833e-01
+1.43500e+03  +8.87890e-01  +1.01690e-02  +1.67794e+00  +1.03819e-01
+1.44200e+03  +8.91526e-01  +1.20834e-02  +1.67818e+00  +1.02035e-01
+1.44700e+03  +8.82930e-01  +1.26797e-02  +1.65737e+00  +1.00168e-01
+1.45500e+03  +8.74561e-01  +1.20966e-02  +1.63444e+00  +9.78920e-02
+1.46500e+03  +8.59997e-01  +1.06054e-02  +1.59852e+00  +9.40157e-02
+1.47500e+03  +8.52186e-01  +1.03950e-02  +1.57557e+00  +9.28028e-02
+1.48500e+03  +8.40919e-01  +1.05780e-02  +1.54659e+00  +9.03121e-02
+1.49500e+03  +8.32882e-01  +1.14887e-02  +1.52392e+00  +8.87387e-02
+1.50500e+03  +8.14032e-01  +1.05105e-02  +1.48188e+00  +8.55169e-02
+1.51200e+03  +7.94633e-01  +9.16114e-03  +1.44150e+00  +8.24241e-02
+1.51700e+03  +7.97639e-01  +9.93192e-03  +1.44337e+00  +8.18988e-02
+1.52500e+03  +7.84047e-01  +1.14119e-02  +1.41321e+00  +8.05071e-02
+1.53500e+03  +7.60596e-01  +9.26885e-03  +1.36431e+00  +7.73243e-02
+1.54500e+03  +6.56834e-01  +2.65378e-02  +1.17259e+00  +9.53468e-02
+1.55500e+03  +7.60123e-01  +1.27742e-02  +1.35063e+00  +7.06064e-02
+1.56500e+03  +6.93299e-01  +1.55906e-02  +1.22622e+00  +7.89074e-02
+1.57500e+03  +7.32646e-01  +1.14586e-02  +1.28993e+00  +7.29492e-02
+1.58500e+03  +6.96595e-01  +1.59750e-02  +1.22098e+00  +7.55469e-02
+1.59500e+03  +7.23419e-01  +1.37181e-02  +1.26242e+00  +7.07603e-02
+1.60500e+03  +7.10775e-01  +1.28653e-02  +1.23498e+00  +6.96181e-02
+1.61500e+03  +7.02249e-01  +1.35001e-02  +1.21495e+00  +6.82808e-02
+1.62500e+03  +6.92980e-01  +1.22746e-02  +1.19388e+00  +6.66223e-02
+1.63500e+03  +6.90463e-01  +1.42881e-02  +1.18461e+00  +6.69952e-02
+1.64500e+03  +6.81018e-01  +1.52403e-02  +1.16363e+00  +6.60601e-02
+1.65500e+03  +6.72093e-01  +1.22811e-02  +1.14377e+00  +6.45243e-02
+1.66500e+03  +6.66663e-01  +1.57205e-02  +1.13003e+00  +6.45196e-02
+1.67200e+03  +6.53410e-01  +1.34780e-02  +1.10452e+00  +6.27445e-02
+1.67700e+03  +6.60505e-01  +1.50232e-02  +1.11435e+00  +6.33609e-02
+1.68500e+03  +6.53149e-01  +1.65409e-02  +1.09855e+00  +6.28458e-02
+1.69500e+03  +6.41270e-01  +1.51957e-02  +1.07447e+00  +6.06099e-02
+1.70500e+03  +6.30365e-01  +1.40971e-02  +1.05225e+00  +5.85724e-02
+1.71500e+03  +6.18022e-01  +1.31787e-02  +1.02783e+00  +5.66291e-02
+1.72500e+03  +6.10222e-01  +1.33722e-02  +1.01117e+00  +5.59071e-02
+1.73500e+03  +6.03918e-01  +1.52658e-02  +9.97130e-01  +5.56169e-02
+1.74500e+03  +5.94781e-01  +1.43593e-02  +9.78566e-01  +5.39890e-02
+1.75500e+03  +5.90638e-01  +1.66682e-02  +9.68357e-01  +5.45538e-02
+1.76500e+03  +5.79978e-01  +1.36800e-02  +9.47605e-01  +5.21287e-02
+1.77500e+03  +5.73121e-01  +1.54782e-02  +9.33220e-01  +5.15440e-02
+1.78500e+03  +5.68644e-01  +1.57812e-02  +9.22826e-01  +5.16466e-02
+1.79500e+03  +5.64278e-01  +1.75889e-02  +9.12712e-01  +5.20913e-02
+1.80500e+03  +5.58903e-01  +1.77301e-02  +9.01067e-01  +5.15299e-02
+1.81500e+03  +5.47148e-01  +1.59371e-02  +8.79275e-01  +4.85266e-02
+1.82500e+03  +5.42529e-01  +1.69323e-02  +8.69081e-01  +4.89127e-02
+1.83500e+03  +5.34682e-01  +1.60734e-02  +8.53824e-01  +4.73408e-02
+1.84500e+03  +5.21131e-01  +1.40982e-02  +8.29607e-01  +4.47966e-02
+1.85500e+03  +5.14047e-01  +1.37399e-02  +8.15828e-01  +4.40965e-02
+1.86500e+03  +5.10218e-01  +1.46680e-02  +8.07308e-01  +4.41336e-02
+1.87500e+03  +5.08464e-01  +1.72456e-02  +8.02136e-01  +4.55035e-02
+1.88500e+03  +4.94801e-01  +1.48442e-02  +7.78285e-01  +4.24311e-02
+1.89500e+03  +4.84612e-01  +1.35654e-02  +7.60046e-01  +4.06772e-02
+1.90500e+03  +4.85816e-01  +1.59896e-02  +7.59748e-01  +4.20407e-02
+1.91500e+03  +4.76185e-01  +1.47332e-02  +7.42576e-01  +4.03457e-02
+1.92500e+03  +4.67504e-01  +1.46046e-02  +7.27000e-01  +3.93747e-02
+1.93500e+03  +4.66953e-01  +1.57285e-02  +7.24136e-01  +4.00785e-02
+1.94500e+03  +4.63778e-01  +1.70168e-02  +7.17248e-01  +4.05747e-02
+1.95500e+03  +4.51091e-01  +1.51941e-02  +6.95747e-01  +3.81634e-02
+1.96700e+03  +4.51416e-01  +1.75248e-02  +6.94026e-01  +3.99139e-02
