### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.28816e+03  +1.11013e+00  +1.84916e-01  +1.07810e+00  +1.25838e-02
+1.28871e+03  +9.59255e-01  +1.83240e-01  +1.08102e+00  +1.24222e-02
+1.28927e+03  +1.11166e+00  +1.80715e-01  +1.08494e+00  +1.22139e-02
+1.28982e+03  +1.14592e+00  +1.76571e-01  +1.08810e+00  +1.22730e-02
+1.29038e+03  +1.09222e+00  +1.75871e-01  +1.08367e+00  +1.18946e-02
+1.29093e+03  +9.51081e-01  +1.76567e-01  +1.06923e+00  +1.36406e-02
+1.29149e+03  +1.15195e+00  +1.79205e-01  +1.06322e+00  +1.48170e-02
+1.29204e+03  +1.14888e+00  +1.80166e-01  +1.07400e+00  +1.23161e-02
+1.29259e+03  +1.20831e+00  +1.78679e-01  +1.08199e+00  +1.20572e-02
+1.29315e+03  +9.91851e-01  +1.76159e-01  +1.07657e+00  +1.24655e-02
+1.29370e+03  +1.15451e+00  +1.73605e-01  +1.06065e+00  +1.29485e-02
+1.29426e+03  +1.21158e+00  +1.69884e-01  +1.03244e+00  +1.52845e-02
+1.29481e+03  +1.21379e+00  +1.68808e-01  +1.02432e+00  +1.55247e-02
+1.29537e+03  +1.00418e+00  +1.69638e-01  +1.03585e+00  +1.29481e-02
+1.29592e+03  +7.50132e-01  +1.69700e-01  +1.02843e+00  +1.26678e-02
+1.29648e+03  +9.16866e-01  +1.71058e-01  +1.01868e+00  +1.33568e-02
+1.29703e+03  +9.24348e-01  +1.73166e-01  +1.03464e+00  +1.24379e-02
+1.29758e+03  +9.11956e-01  +1.71604e-01  +1.05327e+00  +1.20793e-02
+1.29814e+03  +8.03851e-01  +1.69287e-01  +1.04430e+00  +1.17307e-02
+1.29869e+03  +9.83565e-01  +1.67442e-01  +1.01736e+00  +1.48627e-02
+1.29925e+03  +9.52793e-01  +1.63945e-01  +1.01890e+00  +1.40273e-02
+1.29980e+03  +9.28968e-01  +1.61371e-01  +1.04648e+00  +1.07588e-02
+1.30036e+03  +8.72210e-01  +1.59928e-01  +1.05558e+00  +1.06774e-02
+1.30091e+03  +8.72517e-01  +1.58598e-01  +1.05441e+00  +1.11837e-02
+1.30146e+03  +8.19204e-01  +1.57688e-01  +1.06371e+00  +1.14735e-02
+1.30202e+03  +8.15417e-01  +1.57043e-01  +1.07082e+00  +1.15992e-02
